A1071010000000,LAW2007_1 - Jurisprudence
A1071010000000,LAW2038_1 - Land Law
A1071010000000,LAW2010_1 - Law and Government
A510121000000000,POLITIC4002_1 - British Prime Ministers
A510121000000000,"POLITIC4140_1 - War, Peace & World Orders"
A171254000000000,SOCIO1009_1 - Sociology 1A: Self & Society
A51312100000000,POLITIC4002_1 - British Prime Ministers
A751514000000000,BIOL2039_1 - Fundamental Topics in Biol 2X
A315613000000000,BIOL5283_1 - Fundamentals of Neuroscience
A108144000000000,GEOG4013_1 - Geographic Thought
A121215000000000,HISTART2004_1 - History of Art 2A
A861520000000000,MED2006_1 - MBChB 2 Written Paper 1
A991161000000000,LAW5037_1 - International Competition Law
A991161000000000,LAW5034_1 - IP Law and the Market
A127978000000000,LAW1028_1 - (CL) System and Method
A127978000000000,LAW1026_1 - Criminal Law Englnd&Wales (CL)
A127978000000000,LAW1027_1 - (CL) Law of Contract
A156121000000000,CHEM1002_1 - Science Fundamentals 1X
A156121000000000,BIOL1001_1 - Biology 1A
A733515000000000,MATHS1017_1 - Mathematics 1
A733515000000000,STATS1002_1 - Statistics 1Y
A733515000000000,PHIL1010_1 - Philosophy 1A
A813915000000000,ECON1001_1 - Economics 1A
A813915000000000,HIST1008_1 - Hist 1A Scotland's Millennium
A221966000000000,ECON1012_1 - Introductory Maths for Econ
A221966000000000,ECON2001_1 - Economics 2A
A221966000000000,MGT2012_1 - Operations Management
A151014000000000,LAW1021_1 - Obligations 1A
A151014000000000,LAW1003_1 - Criminal Law and Evidence 1
A151014000000000,LAW1020_1 - Introduction to Legal Study
A129120000000000,ENG2086_1 - Engineering Mathematics 2
A129120000000000,ENG2081_1 - Mechanics of Structures 2A
A129120000000000,ENG2085_1 - Fluid Mechanics 2
A129120000000000,ENG2045_1 - Power Electronics 2
A349742000000000,ENG1063_1 - Engineering Mathematics 1 Pr1
A349742000000000,ENG1031_1 - Intro to Biomed Engineering 1
A349742000000000,ENG1065_1 - Statics 1
A349742000000000,ENG1033_1 - Materials 1
A349742000000000,ENG1003_1 - Analogue Electronics 1
A811314000000000,ENG2086_1 - Engineering Mathematics 2
